Date,Region,Category,Product,Quantity,Sales,Profit
2024-01-08,South,Clothing,Jeans,5,454.2,45.56
2024-01-08,North,Electronics,Headphones,6,2292.5,629.98
2024-01-08,Central,Groceries,Cereal,5,45.49,10.89
2024-01-08,North,Electronics,Tablet,7,5129.77,1380.43
2024-01-09,North,Groceries,Cereal,3,94.82,20.5
2024-01-09,South,Furniture,Office Chair,9,3761.76,758.95
2024-01-09,North,Groceries,Coffee,8,86.38,14.02
2024-01-09,East,Electronics,Laptop,10,10868.25,3784.94
2024-01-09,Central,Stationery,Desk Lamp,7,378.09,75.87
2024-01-09,East,Stationery,Pen Set,7,352.84,25.45
2024-01-09,West,Furniture,Sofa,11,4178.02,805.98
2024-01-09,South,Stationery,Sticky Notes,7,424.13,54.37
2024-01-09,South,Electronics,Headphones,4,2415.95,837.65
2024-01-09,East,Clothing,T-Shirt,8,623.92,90.96
2024-01-10,South,Groceries,Coffee,3,18.97,6.49
2024-01-10,East,Stationery,Notebook,6,436.53,72.1
2024-01-10,South,Electronics,Tablet,11,11456.12,1231.99
2024-01-10,Central,Electronics,Smartwatch,8,8388.87,450.81
2024-01-10,South,Groceries,Cereal,10,163.22,41.58
2024-01-11,North,Electronics,Tablet,6,4471.4,678.99
2024-01-11,Central,Electronics,Smartphone,9,8490.83,1685.02
2024-01-11,South,Stationery,Notebook,4,68.33,11.68
2024-01-11,East,Stationery,Backpack,3,107.88,21.51
2024-01-11,West,Electronics,Laptop,4,2706.15,587.57
2024-01-11,Central,Clothing,Jacket,7,330.81,108.71
2024-01-11,South,Stationery,Desk Lamp,5,285.58,98.09
2024-01-11,East,Clothing,T-Shirt,6,862.79,249.57
2024-01-11,West,Stationery,Pen Set,11,170.33,9.83
2024-01-11,South,Electronics,Smartwatch,5,2900.12,917.85
2024-01-11,Central,Electronics,Tablet,11,3919.93,439.23
2024-01-11,Central,Groceries,Cereal,2,35.35,5.76
2024-01-12,East,Stationery,Backpack,3,175.91,52.62
2024-01-12,South,Electronics,Headphones,7,6657.64,455.32
2024-01-12,West,Stationery,Backpack,6,460.3,90.68
2024-01-12,West,Electronics,Smartphone,1,920.19,240.42
2024-01-12,North,Stationery,Sticky Notes,4,163.98,49.22
2024-01-12,South,Groceries,Coffee,1,28.79,7.01
2024-01-13,East,Groceries,Coffee,9,221.78,64.56
2024-01-13,Central,Groceries,Snack Pack,8,27.84,6.0
2024-01-13,West,Electronics,Laptop,3,1502.13,191.71
2024-01-13,North,Stationery,Pen Set,6,75.99,5.78
2024-01-13,Central,Groceries,Organic Juice,7,113.63,39.21
2024-01-14,North,Furniture,Bookshelf,11,8549.9,450.56
2024-01-14,Central,Furniture,Office Chair,11,1900.3,223.76
2024-01-14,East,Clothing,Jacket,11,1121.14,292.68
2024-01-14,South,Electronics,Smartphone,8,816.42,210.34
2024-01-14,East,Clothing,Jacket,1,24.17,2.49
2024-01-15,Central,Electronics,Smartwatch,2,1084.38,328.51
2024-01-15,North,Clothing,Sneakers,9,1160.96,104.91
2024-01-15,North,Stationery,Pen Set,8,311.92,53.73
2024-01-15,South,Stationery,Backpack,9,467.03,66.45
2024-01-15,North,Stationery,Desk Lamp,8,114.54,26.46
2024-01-16,North,Electronics,Laptop,4,1195.55,396.64
2024-01-16,Central,Clothing,Jacket,8,891.71,169.87
2024-01-16,South,Clothing,Jeans,11,1568.02,330.5
2024-01-16,East,Stationery,Sticky Notes,7,123.69,28.3
2024-01-16,East,Furniture,Desk,1,435.65,42.14
2024-01-16,West,Furniture,Sofa,8,3163.47,626.85
2024-01-16,East,Furniture,Desk,8,2270.63,636.0
2024-01-16,Central,Clothing,T-Shirt,9,194.16,62.29
2024-01-17,East,Furniture,Desk,11,2517.02,572.51
2024-01-17,East,Clothing,T-Shirt,1,71.16,5.82
2024-01-17,Central,Groceries,Olive Oil,11,317.18,25.65
2024-01-17,South,Electronics,Laptop,7,2011.44,537.52
2024-01-17,Central,Stationery,Notebook,11,659.01,201.64
2024-01-17,East,Stationery,Desk Lamp,7,227.14,27.11
2024-01-17,South,Groceries,Olive Oil,11,300.77,101.46
2024-01-17,East,Groceries,Coffee,2,55.72,16.7
2024-01-17,South,Furniture,Sofa,9,2316.21,347.78
2024-01-18,West,Clothing,T-Shirt,10,935.38,54.47
2024-01-18,West,Furniture,Dining Table,6,4234.07,299.88
2024-01-18,West,Clothing,T-Shirt,3,99.98,32.7
2024-01-18,Central,Groceries,Olive Oil,2,64.68,3.57
2024-01-18,West,Clothing,T-Shirt,11,1344.8,210.1
2024-01-18,East,Groceries,Coffee,2,34.88,4.69
2024-01-18,South,Stationery,Desk Lamp,10,426.27,63.93
2024-01-18,South,Stationery,Pen Set,1,47.44,14.74
2024-01-18,East,Stationery,Pen Set,3,28.94,9.28
2024-01-18,South,Furniture,Bookshelf,10,1381.02,115.1
2024-01-18,North,Furniture,Sofa,7,5745.28,391.31
2024-01-19,North,Clothing,T-Shirt,2,294.18,91.66
2024-01-19,Central,Clothing,Jeans,7,1033.04,113.32
2024-01-19,North,Furniture,Sofa,7,4491.49,868.18
2024-01-19,North,Clothing,T-Shirt,9,869.09,135.04
2024-01-19,East,Electronics,Smartwatch,7,3623.11,540.61
2024-01-19,South,Electronics,Tablet,8,1931.7,306.07
2024-01-19,West,Groceries,Olive Oil,3,25.01,3.87
2024-01-19,Central,Groceries,Coffee,10,156.92,23.34
2024-01-19,East,Stationery,Notebook,4,246.06,27.7
2024-01-19,West,Furniture,Desk,2,215.95,57.57
2024-01-19,East,Clothing,Jeans,1,149.14,30.38
2024-01-20,North,Furniture,Sofa,6,5143.53,1165.62
2024-01-20,East,Stationery,Sticky Notes,5,91.49,28.13
2024-01-20,East,Stationery,Pen Set,9,174.26,14.67
2024-01-20,West,Clothing,Jacket,4,114.99,36.49
2024-01-20,North,Groceries,Organic Juice,9,219.57,21.19
2024-01-20,Central,Furniture,Office Chair,10,3254.93,600.96
2024-01-20,Central,Groceries,Snack Pack,1,14.97,1.52
2024-01-20,North,Electronics,Smartphone,10,9055.88,587.71
2024-01-20,East,Electronics,Headphones,4,4698.09,1145.62
2024-01-20,East,Groceries,Cereal,10,43.02,5.31
2024-01-21,North,Groceries,Cereal,9,29.5,6.57
2024-01-21,East,Furniture,Office Chair,7,5664.08,412.37
2024-01-21,Central,Groceries,Cereal,2,9.01,2.85
2024-01-21,North,Groceries,Olive Oil,9,160.92,28.07
2024-01-21,North,Electronics,Headphones,6,5150.66,1480.67
2024-01-21,South,Electronics,Laptop,8,5773.89,1486.39
2024-01-21,South,Electronics,Smartphone,11,1354.51,382.47
2024-01-21,Central,Stationery,Backpack,3,105.42,8.55
2024-01-21,East,Electronics,Smartwatch,11,8713.42,2103.69
2024-01-21,South,Clothing,Jacket,5,698.14,88.24
2024-01-21,East,Clothing,Sneakers,7,435.63,143.98
2024-01-21,Central,Electronics,Headphones,11,1619.01,317.6
2024-01-21,South,Groceries,Olive Oil,8,33.03,7.89
2024-01-21,East,Furniture,Office Chair,5,593.56,126.45
2024-01-22,Central,Furniture,Bookshelf,9,4037.92,1183.28
2024-01-22,West,Stationery,Backpack,2,30.07,8.01
2024-01-22,South,Stationery,Notebook,3,169.0,45.08
2024-01-22,East,Stationery,Notebook,11,336.28,52.12
2024-01-22,East,Stationery,Pen Set,5,307.04,76.22
2024-01-22,South,Clothing,Sneakers,1,42.05,13.31
2024-01-23,West,Furniture,Desk,7,3904.7,198.46
2024-01-23,Central,Electronics,Tablet,11,2155.28,457.41
2024-01-23,Central,Electronics,Laptop,7,662.88,188.9
2024-01-23,North,Groceries,Cereal,10,38.7,6.03
2024-01-23,West,Clothing,Sneakers,9,876.77,197.51
2024-01-23,South,Electronics,Smartwatch,7,3002.26,542.96
2024-01-24,North,Clothing,Jacket,5,741.43,83.54
2024-01-24,West,Furniture,Desk,7,4706.24,848.62
2024-01-25,West,Furniture,Bookshelf,8,3702.79,664.64
2024-01-25,West,Stationery,Pen Set,9,394.65,86.69
2024-01-25,East,Groceries,Olive Oil,6,233.67,20.32
2024-01-25,South,Furniture,Dining Table,1,842.01,263.85
2024-01-25,West,Stationery,Notebook,6,79.65,21.93
2024-01-26,West,Furniture,Dining Table,1,417.69,122.08
2024-01-26,South,Furniture,Desk,4,694.37,215.63
2024-01-26,Central,Groceries,Olive Oil,11,334.68,28.08
2024-01-26,Central,Groceries,Coffee,9,129.2,18.58
2024-01-26,North,Furniture,Bookshelf,11,2017.94,258.24
2024-01-26,Central,Groceries,Coffee,9,198.69,28.11
2024-01-26,Central,Groceries,Snack Pack,7,36.21,12.06
2024-01-26,South,Clothing,Jacket,4,260.53,50.21
2024-01-26,Central,Furniture,Sofa,7,4266.46,747.91
2024-01-27,South,Clothing,Cap,8,529.0,123.97
2024-01-27,West,Furniture,Bookshelf,10,3922.25,703.64
2024-01-27,South,Stationery,Notebook,11,599.96,121.61
2024-01-27,North,Electronics,Laptop,6,2179.19,677.04
2024-01-27,East,Clothing,Jeans,7,176.49,11.71
2024-01-27,South,Stationery,Sticky Notes,9,621.2,46.47
2024-01-27,South,Stationery,Desk Lamp,3,118.95,20.06
2024-01-28,Central,Electronics,Tablet,10,2908.99,593.37
2024-01-28,South,Electronics,Tablet,5,4306.11,1301.35
2024-01-28,West,Groceries,Cereal,1,36.16,4.76
2024-01-28,West,Clothing,T-Shirt,8,405.8,138.06
2024-01-28,East,Groceries,Organic Juice,5,97.41,6.13
2024-01-29,East,Furniture,Sofa,5,359.5,23.99
2024-01-29,Central,Groceries,Coffee,2,12.48,2.23
2024-01-29,East,Stationery,Backpack,6,320.34,21.92
2024-01-29,Central,Electronics,Smartwatch,5,4859.59,1417.46
2024-01-29,Central,Groceries,Organic Juice,8,84.3,9.18
2024-01-29,East,Furniture,Desk,6,4498.0,1205.27
2024-01-29,West,Electronics,Laptop,4,980.41,101.93
2024-01-29,North,Furniture,Desk,11,8992.28,1663.91
2024-01-29,East,Groceries,Coffee,11,416.46,53.26
2024-01-29,West,Electronics,Smartwatch,7,7077.87,689.1
2024-01-30,South,Groceries,Olive Oil,2,14.51,5.03
2024-01-30,West,Stationery,Backpack,2,140.91,46.62
2024-01-30,South,Electronics,Laptop,11,8897.82,2803.31
2024-01-30,West,Electronics,Laptop,6,1236.61,260.13
2024-01-30,South,Groceries,Coffee,7,186.82,60.4
2024-01-30,East,Clothing,Sneakers,10,222.61,70.26
2024-01-30,North,Clothing,Cap,9,314.35,82.26
2024-01-31,South,Furniture,Bookshelf,7,5763.16,622.07
2024-01-31,Central,Furniture,Office Chair,11,7545.64,767.06
2024-01-31,North,Stationery,Sticky Notes,3,99.53,5.56
2024-01-31,Central,Stationery,Backpack,6,321.64,70.76
2024-01-31,West,Furniture,Bookshelf,8,5942.69,766.42
2024-01-31,South,Groceries,Coffee,2,35.96,11.49
2024-01-31,South,Furniture,Desk,3,1242.87,160.02
2024-01-31,East,Electronics,Smartphone,4,3462.11,736.06
2024-01-31,West,Groceries,Cereal,7,248.04,24.68
2024-02-01,West,Stationery,Sticky Notes,7,510.98,47.4
2024-02-01,East,Furniture,Desk,2,147.78,41.18
2024-02-01,East,Clothing,Sneakers,4,593.15,139.11
2024-02-01,South,Electronics,Smartwatch,1,1146.06,346.78
2024-02-01,South,Furniture,Sofa,6,4401.79,1299.59
2024-02-02,Central,Groceries,Cereal,2,55.28,3.86
2024-02-02,North,Clothing,Sneakers,5,553.04,106.88
2024-02-02,West,Clothing,Sneakers,9,387.34,84.5
2024-02-02,Central,Furniture,Sofa,2,413.38,120.36
2024-02-02,East,Clothing,Sneakers,8,546.3,115.36
2024-02-02,East,Clothing,Jeans,9,740.03,72.39
2024-02-03,West,Groceries,Olive Oil,4,112.54,38.69
2024-02-03,West,Stationery,Sticky Notes,1,28.39,5.0
2024-02-03,West,Electronics,Headphones,3,1644.01,334.29
2024-02-03,West,Clothing,Jacket,7,502.5,28.07
2024-02-04,South,Furniture,Office Chair,1,776.94,71.21
2024-02-04,East,Stationery,Notebook,3,181.44,58.55
2024-02-04,West,Stationery,Pen Set,7,472.12,58.81
2024-02-04,South,Electronics,Headphones,10,11409.18,2633.13
2024-02-04,North,Furniture,Dining Table,5,397.74,61.45
2024-02-04,North,Groceries,Organic Juice,1,36.73,5.79
2024-02-04,South,Groceries,Organic Juice,11,173.75,44.56
2024-02-04,West,Electronics,Smartphone,1,238.51,58.54
2024-02-04,North,Groceries,Cereal,2,31.12,3.53
2024-02-04,West,Stationery,Pen Set,9,551.87,147.67
2024-02-04,South,Furniture,Desk,3,1711.28,504.72
2024-02-05,South,Groceries,Cereal,10,134.03,17.97
2024-02-05,South,Groceries,Olive Oil,9,116.34,7.52
2024-02-05,Central,Electronics,Tablet,1,294.89,88.34
2024-02-05,North,Stationery,Backpack,10,665.9,99.11
2024-02-05,Central,Furniture,Desk,9,5669.33,1554.99
2024-02-05,South,Electronics,Smartphone,6,2203.92,234.42
2024-02-06,East,Clothing,Jeans,10,985.39,105.39
2024-02-06,South,Stationery,Notebook,3,77.88,17.29
2024-02-06,West,Stationery,Desk Lamp,10,494.31,109.44
2024-02-06,Central,Clothing,T-Shirt,5,193.77,64.47
2024-02-06,West,Stationery,Sticky Notes,2,62.52,5.33
2024-02-06,West,Electronics,Laptop,11,1631.94,277.08
2024-02-06,Central,Stationery,Sticky Notes,4,63.5,11.07
2024-02-06,West,Stationery,Pen Set,7,124.97,23.77
2024-02-06,South,Clothing,T-Shirt,11,1164.11,263.24
2024-02-06,Central,Furniture,Bookshelf,5,2492.73,254.04
2024-02-06,Central,Furniture,Dining Table,7,3159.57,483.42
2024-02-07,East,Groceries,Coffee,11,165.4,21.74
2024-02-07,East,Electronics,Laptop,8,645.33,151.12
2024-02-07,North,Electronics,Headphones,7,3808.08,295.9
2024-02-07,West,Electronics,Smartwatch,9,9568.38,3249.21
2024-02-07,West,Clothing,Jacket,5,194.95,61.86
2024-02-08,Central,Electronics,Headphones,1,914.46,285.6
2024-02-08,East,Stationery,Sticky Notes,7,466.96,127.86
2024-02-08,Central,Stationery,Notebook,11,859.51,86.57
2024-02-08,Central,Clothing,Cap,8,146.44,27.48
2024-02-08,West,Furniture,Bookshelf,7,5572.13,1138.5
2024-02-08,North,Furniture,Desk,1,136.05,42.92
2024-02-08,Central,Electronics,Smartwatch,10,9584.77,2973.73
2024-02-09,West,Furniture,Sofa,11,4357.56,972.06
2024-02-09,North,Groceries,Olive Oil,10,335.5,32.6
2024-02-09,North,Groceries,Olive Oil,10,370.78,54.3
2024-02-09,East,Groceries,Olive Oil,4,80.15,15.12
2024-02-09,East,Clothing,Sneakers,9,637.38,223.08
2024-02-09,East,Groceries,Cereal,1,35.83,8.07
2024-02-09,South,Clothing,Cap,8,717.89,116.71
2024-02-09,West,Clothing,Sneakers,5,227.41,43.34
2024-02-09,East,Electronics,Tablet,5,2804.32,765.18
2024-02-09,South,Clothing,Cap,11,1349.18,132.38
2024-02-09,East,Clothing,Cap,7,860.23,286.59
2024-02-09,West,Clothing,T-Shirt,9,1196.7,240.17
2024-02-09,West,Furniture,Bookshelf,7,3188.7,271.37
2024-02-09,South,Furniture,Office Chair,4,3150.91,1017.57
2024-02-10,East,Electronics,Headphones,1,381.16,26.5
2024-02-10,West,Furniture,Sofa,9,3372.64,205.35
2024-02-10,North,Electronics,Smartwatch,1,1112.24,232.58
2024-02-10,North,Electronics,Smartwatch,3,1368.99,103.46
2024-02-10,East,Furniture,Desk,11,4684.07,1125.31
2024-02-10,South,Electronics,Smartwatch,9,7286.32,946.85
2024-02-10,East,Stationery,Notebook,8,600.1,135.24
2024-02-11,East,Furniture,Desk,7,3019.73,518.83
2024-02-11,East,Furniture,Dining Table,2,458.46,30.66
2024-02-11,South,Furniture,Office Chair,7,5898.79,1387.34
2024-02-11,South,Groceries,Olive Oil,5,170.39,36.5
2024-02-11,Central,Electronics,Headphones,8,9065.78,753.34
2024-02-11,South,Clothing,Jacket,8,378.24,43.88
2024-02-11,Central,Clothing,Sneakers,11,726.63,235.38
2024-02-11,South,Furniture,Dining Table,10,5185.69,1221.05
2024-02-12,South,Groceries,Coffee,8,234.12,59.11
2024-02-12,Central,Furniture,Sofa,4,1745.82,191.33
2024-02-12,North,Stationery,Desk Lamp,9,441.44,108.98
2024-02-12,West,Clothing,Jeans,6,168.99,36.15
2024-02-12,West,Groceries,Cereal,10,228.18,23.06
2024-02-12,Central,Groceries,Organic Juice,5,196.13,62.31
2024-02-12,West,Furniture,Dining Table,2,377.84,81.6
2024-02-13,North,Clothing,Sneakers,6,895.83,269.23
2024-02-13,West,Electronics,Smartwatch,1,728.47,44.9
2024-02-13,North,Groceries,Organic Juice,2,62.59,17.21
2024-02-13,East,Clothing,Cap,8,978.26,123.35
2024-02-13,West,Stationery,Notebook,8,192.22,20.2
2024-02-13,North,Electronics,Smartphone,11,12329.57,1747.31
2024-02-13,North,Groceries,Olive Oil,7,154.06,10.58
2024-02-13,East,Furniture,Bookshelf,9,567.26,171.82
2024-02-13,East,Furniture,Sofa,11,1726.32,519.76
2024-02-14,East,Stationery,Backpack,5,25.51,6.74
2024-02-14,Central,Electronics,Tablet,8,8977.96,1820.68
2024-02-14,West,Clothing,Jeans,2,93.86,27.65
2024-02-14,West,Groceries,Coffee,8,108.95,11.06
2024-02-14,West,Clothing,Jacket,6,678.31,231.09
2024-02-14,Central,Clothing,Jacket,1,89.91,10.52
2024-02-14,Central,Stationery,Desk Lamp,6,231.15,38.2
2024-02-15,South,Stationery,Desk Lamp,8,586.2,96.21
2024-02-15,North,Furniture,Bookshelf,6,2017.52,436.01
2024-02-15,West,Groceries,Olive Oil,5,151.11,18.02
2024-02-16,Central,Furniture,Bookshelf,1,70.75,9.31
2024-02-16,Central,Electronics,Smartphone,6,2539.0,377.25
2024-02-16,South,Clothing,Jacket,6,567.04,115.24
2024-02-16,Central,Clothing,Cap,7,684.94,180.57
2024-02-16,North,Electronics,Smartphone,8,947.77,102.88
2024-02-16,North,Electronics,Headphones,5,770.94,88.96
2024-02-16,East,Furniture,Dining Table,6,2693.39,926.96
2024-02-16,East,Clothing,Cap,9,1039.03,334.8
2024-02-16,East,Groceries,Cereal,5,38.61,6.65
2024-02-16,South,Stationery,Backpack,4,283.98,83.21
2024-02-16,East,Groceries,Organic Juice,3,71.78,4.15
2024-02-16,South,Groceries,Cereal,2,50.98,11.65
2024-02-16,Central,Stationery,Notebook,7,115.65,14.5
2024-02-16,East,Groceries,Coffee,6,93.14,14.9
2024-02-16,South,Furniture,Office Chair,10,4405.32,845.78
2024-02-17,Central,Clothing,Jacket,6,835.8,119.69
2024-02-17,North,Stationery,Backpack,9,503.75,114.5
2024-02-17,South,Electronics,Tablet,10,6896.51,2298.34
2024-02-17,North,Furniture,Desk,11,3872.04,1218.27
2024-02-17,South,Furniture,Desk,3,400.55,68.19
2024-02-17,West,Groceries,Coffee,11,100.71,22.94
2024-02-17,South,Groceries,Organic Juice,3,114.61,31.04
2024-02-17,East,Stationery,Backpack,9,282.39,85.89
2024-02-17,East,Stationery,Notebook,1,43.26,11.28
2024-02-18,North,Furniture,Sofa,5,3227.43,370.5
2024-02-18,Central,Furniture,Dining Table,2,942.59,130.91
2024-02-18,Central,Stationery,Desk Lamp,4,203.89,11.78
2024-02-18,East,Groceries,Coffee,5,38.27,12.24
2024-02-18,West,Groceries,Coffee,4,33.8,4.02
2024-02-18,North,Groceries,Snack Pack,8,204.08,33.63
2024-02-18,Central,Electronics,Smartwatch,3,1400.8,471.56
2024-02-18,South,Electronics,Smartwatch,8,4209.15,702.96
2024-02-18,South,Furniture,Office Chair,3,468.56,64.09
2024-02-19,East,Clothing,Jacket,10,577.31,187.5
2024-02-19,South,Groceries,Snack Pack,1,31.13,7.91
2024-02-19,South,Clothing,Jeans,8,388.7,133.43
2024-02-19,West,Furniture,Bookshelf,1,878.83,168.88
2024-02-19,South,Furniture,Bookshelf,6,3478.48,657.29
2024-02-19,East,Electronics,Headphones,9,8949.37,2951.83
2024-02-19,Central,Furniture,Desk,4,2115.19,405.63
2024-02-20,East,Groceries,Coffee,4,18.35,5.63
2024-02-20,West,Groceries,Coffee,8,114.67,38.21
2024-02-20,South,Clothing,Jeans,1,39.25,7.02
2024-02-20,North,Clothing,Jacket,9,1182.96,269.07
2024-02-20,West,Stationery,Desk Lamp,1,40.57,9.68
2024-02-20,South,Stationery,Backpack,5,127.98,27.15
2024-02-20,Central,Stationery,Pen Set,10,341.14,101.11
2024-02-20,East,Clothing,Sneakers,6,509.29,81.7
2024-02-20,North,Clothing,T-Shirt,10,1440.41,175.51
2024-02-20,North,Furniture,Office Chair,8,3780.75,1021.74
2024-02-20,West,Stationery,Sticky Notes,11,290.02,95.38
2024-02-20,Central,Stationery,Desk Lamp,10,135.17,26.96
2024-02-20,South,Clothing,Sneakers,11,1099.32,147.82
2024-02-20,East,Stationery,Sticky Notes,4,94.3,14.74
2024-02-20,East,Electronics,Smartwatch,4,348.64,93.78
2024-02-21,North,Groceries,Cereal,8,254.88,35.4
2024-02-21,East,Stationery,Pen Set,6,111.33,23.24
2024-02-21,South,Electronics,Smartwatch,9,1963.5,98.36
2024-02-21,East,Stationery,Pen Set,3,211.11,61.23
2024-02-21,West,Groceries,Cereal,11,36.57,10.6
2024-02-21,South,Groceries,Snack Pack,10,371.25,102.14
2024-02-22,North,Electronics,Smartwatch,2,1052.78,336.47
2024-02-22,West,Clothing,Sneakers,6,752.95,202.73
2024-02-22,West,Furniture,Bookshelf,1,432.34,64.09
2024-02-22,North,Clothing,Sneakers,10,1450.04,168.08
2024-02-23,South,Stationery,Desk Lamp,1,67.87,5.93
2024-02-23,North,Groceries,Snack Pack,3,39.54,11.77
2024-02-23,East,Electronics,Tablet,4,543.16,89.3
2024-02-23,South,Furniture,Bookshelf,1,675.56,172.16
2024-02-23,West,Clothing,Sneakers,3,282.1,34.79
2024-02-24,North,Clothing,T-Shirt,11,857.67,184.96
2024-02-24,West,Clothing,Jeans,1,36.85,7.08
2024-02-24,West,Clothing,Jeans,2,216.41,60.23
2024-02-24,South,Clothing,Sneakers,1,58.86,4.95
2024-02-24,North,Furniture,Desk,4,768.3,174.92
2024-02-24,North,Electronics,Tablet,2,1508.0,297.66
2024-02-24,Central,Stationery,Backpack,4,155.71,8.94
2024-02-24,North,Groceries,Snack Pack,5,146.34,36.46
2024-02-25,South,Groceries,Organic Juice,7,181.64,57.96
2024-02-25,East,Groceries,Snack Pack,6,104.23,23.38
2024-02-25,East,Stationery,Backpack,1,27.36,7.23
2024-02-25,West,Stationery,Pen Set,8,632.98,47.95
2024-02-26,South,Furniture,Sofa,11,5125.22,774.93
2024-02-26,North,Stationery,Pen Set,7,400.18,131.1
2024-02-26,Central,Stationery,Desk Lamp,10,170.38,17.92
2024-02-26,South,Electronics,Smartphone,9,2223.8,503.84
2024-02-26,Central,Electronics,Tablet,6,7156.62,711.88
2024-02-26,East,Electronics,Tablet,3,3012.01,525.98
2024-02-27,East,Stationery,Sticky Notes,4,190.28,62.6
2024-02-27,Central,Clothing,Jeans,3,114.6,36.17
2024-02-27,East,Electronics,Tablet,10,4586.86,1403.65
2024-02-27,North,Clothing,Jeans,4,366.78,110.74
2024-02-27,North,Stationery,Sticky Notes,1,75.44,10.97
2024-02-28,South,Groceries,Organic Juice,1,4.19,0.77
2024-02-28,East,Furniture,Dining Table,8,1439.68,475.85
2024-02-28,West,Groceries,Coffee,5,148.77,33.61
2024-02-28,East,Furniture,Bookshelf,11,7747.81,2544.1
2024-02-28,Central,Electronics,Laptop,2,752.7,86.3
2024-02-28,North,Groceries,Coffee,7,32.58,3.39
2024-02-28,West,Furniture,Dining Table,4,1273.57,99.34
2024-02-29,East,Clothing,Sneakers,1,90.77,15.86
2024-02-29,East,Furniture,Bookshelf,4,1638.41,83.02
2024-02-29,West,Stationery,Sticky Notes,6,389.08,118.99
2024-02-29,East,Groceries,Coffee,10,325.91,44.01
2024-02-29,West,Stationery,Backpack,11,375.65,115.12
2024-02-29,South,Groceries,Olive Oil,8,272.58,42.64
2024-03-01,West,Groceries,Coffee,11,136.55,27.65
2024-03-01,West,Electronics,Smartphone,1,610.58,196.26
2024-03-01,Central,Clothing,Jeans,6,865.57,57.6
2024-03-01,North,Clothing,Jacket,11,429.86,62.13
2024-03-01,Central,Clothing,Sneakers,2,59.51,7.78
2024-03-01,Central,Groceries,Coffee,5,188.29,13.08
2024-03-01,North,Groceries,Olive Oil,1,3.45,1.0
2024-03-02,South,Stationery,Pen Set,4,80.07,21.88
